Report Refresh Date,User Principal Name,Display Name,Is Deleted,Deleted Date,Has Exchange License,Has OneDrive License,Has SharePoint License,Has Skype For Business License,Has Yammer License,Has Teams License,Exchange Last Activity Date,OneDrive Last Activity Date,SharePoint Last Activity Date,Skype For Business Last Activity Date,Yammer Last Activity Date,Teams Last Activity Date,Exchange License Assign Date,OneDrive License Assign Date,SharePoint License Assign Date,Skype For Business License Assign Date,Yammer License Assign Date,Teams License Assign Date,Assigned Products
2021-12-28,MeganB@s5fr.onmicrosoft.com,Megan Bowen,False,,True,True,True,True,True,True,,,,,,,2021-10-30,2021-10-30,2021-10-30,2021-10-30,2021-10-30,2021-10-30,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING)
2021-12-28,JoniS@s5fr.onmicrosoft.com,Joni Sherman,False,,True,True,True,True,True,True,,,,,,,2021-10-30,2021-10-30,2021-10-30,2021-10-30,2021-10-30,2021-10-30,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING)
2021-12-28,LynneR@s5fr.onmicrosoft.com,Lynne Robbins,False,,True,True,True,True,True,True,,,,,,,2021-10-30,2021-10-30,2021-10-30,2021-10-30,2021-10-30,2021-10-30,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING)
2021-12-28,IsaiahL@s5fr.onmicrosoft.com,Isaiah Langer,False,,True,True,True,True,True,True,2021-10-30,,,,,,2021-10-30,2021-10-30,2021-10-30,2021-10-30,2021-10-30,2021-10-30,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING)
2021-12-28,AlexW@s5fr.onmicrosoft.com,Alex Wilber,False,,True,True,True,True,True,True,2021-10-30,,,,,,2021-10-30,2021-10-30,2021-10-30,2021-10-30,2021-10-30,2021-10-30,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING)
2021-12-28,PradeepG@s5fr.onmicrosoft.com,Pradeep Gupta,False,,True,True,True,True,True,True,,,,,,,2021-10-30,2021-10-30,2021-10-30,2021-10-30,2021-10-30,2021-10-30,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING)
2021-12-28,PattiF@s5fr.onmicrosoft.com,Patti Fernandez,False,,True,True,True,True,True,True,2021-10-30,,,,,,2021-10-30,2021-10-30,2021-10-30,2021-10-30,2021-10-30,2021-10-30,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING)
2021-12-28,admin@s5fr.onmicrosoft.com,FNU LNU,False,,True,True,True,True,True,True,2021-12-23,,,,,,2021-10-30,2021-10-30,2021-10-30,2021-10-30,2021-10-30,2021-10-30,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING)
2021-12-28,AdeleV@s5fr.onmicrosoft.com,Adele Vance,False,,True,True,True,True,True,True,,,,,,,2021-10-30,2021-10-30,2021-10-30,2021-10-30,2021-10-30,2021-10-30,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING)
2021-12-28,LeeG@s5fr.onmicrosoft.com,Lee Gu,False,,True,True,True,True,True,True,2021-10-30,,,,,,2021-10-30,2021-10-30,2021-10-30,2021-10-30,2021-10-30,2021-10-30,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING)
2021-12-28,JohannaL@s5fr.onmicrosoft.com,Johanna Lorenz,False,,True,True,True,True,True,True,,,,,,,2021-10-30,2021-10-30,2021-10-30,2021-10-30,2021-10-30,2021-10-30,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING)
2021-12-28,HenriettaM@s5fr.onmicrosoft.com,Henrietta Mueller,False,,True,True,True,True,True,True,,,,,,,2021-10-30,2021-10-30,2021-10-30,2021-10-30,2021-10-30,2021-10-30,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING)
2021-12-28,NestorW@s5fr.onmicrosoft.com,Nestor Wilke,False,,True,True,True,True,True,True,2021-10-30,,,,,,2021-10-30,2021-10-30,2021-10-30,2021-10-30,2021-10-30,2021-10-30,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING)
2021-12-28,LidiaH@s5fr.onmicrosoft.com,Lidia Holloway,False,,True,True,True,True,True,True,,,,,,,2021-10-30,2021-10-30,2021-10-30,2021-10-30,2021-10-30,2021-10-30,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING)
2021-12-28,GradyA@s5fr.onmicrosoft.com,Grady Archie,False,,True,True,True,True,True,True,,,,,,,2021-10-30,2021-10-30,2021-10-30,2021-10-30,2021-10-30,2021-10-30,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING)
2021-12-28,MiriamG@s5fr.onmicrosoft.com,Miriam Graham,False,,True,True,True,True,True,True,2021-10-30,,,,,,2021-10-30,2021-10-30,2021-10-30,2021-10-30,2021-10-30,2021-10-30,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING)
2021-12-28,DiegoS@s5fr.onmicrosoft.com,Diego Siciliani,False,,True,True,True,True,True,True,2021-10-30,,,,,,2021-10-30,2021-10-30,2021-10-30,2021-10-30,2021-10-30,2021-10-30,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING)
